title,instructor,rating,reviews_count,description,duration,what_you_learn,tag,level,price,thumbnail_url,external_id,scraped_date,url,video_hours,reading_count,assignment_count
Technical Support Fundamentals,Google Career Certificates,4.8,164036,"By the end of this course, you’ll be able to:
● understand how the binary system works
● assemble a computer from scratch
● choose and install an operating system on a computer
● understand what the Internet is, how it works, and the impact it has in the modern world
● learn how applications are created and how they work under the hood of a computer
● utilize common problem-solving methodologies and soft skills in an Information Technology setting",2 weeks at 10 hours a week,"Customer Support, Network Support, Help Desk Support, Software Installation, Technical Documentation, Technical Writing, General Networking, Technical Support and Services, Information Technology, Show all","Customer Support, Network Support, Help Desk Support, Software Installation, Technical Documentation",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~technical-support-fundamentals/XDP~COURSE!~technical-support-fundamentals.jpeg,technical-support-fundamentals,2026-04-30,https://www.coursera.org/learn/technical-support-fundamentals,302,35,20
Introduction to Generative AI,Google Cloud Training,4.7,11604,"This is an introductory level microlearning course aimed at explaining what Generative AI is, how it is used, and how it differs from traditional machine learning methods. It also covers Google Tools to help you develop your own Gen AI apps.",N/A,"Artificial Intelligence, Machine Learning Methods, Google Cloud Platform, AI literacy, Large Language Modeling, Deep Learning","Artificial Intelligence, Machine Learning Methods, Google Cloud Platform, AI literacy, Large Language Modeling",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~introduction-to-generative-ai/XDP~COURSE!~introduction-to-generative-ai.jpeg,introduction-to-generative-ai,2026-04-30,https://www.coursera.org/learn/introduction-to-generative-ai,24,1,4
AI Fundamentals and the Cloud,N/A,4.5,83,"Begin your AI journey by understanding fundamental concepts and ethical considerations of artificial intelligence in the cloud. This course introduces you to AI technology, focusing on how different models work and their practical applications. You'll learn to distinguish between Large Language Models (LLMs) and Foundation Models (FMs), understand responsible AI practices, and gain hands-on experience with Amazon PartyRock. Through practical exercises and real-world examples, you'll develop essential prompt engineering skills and learn how AI can enhance productivity across various job roles. The course concludes with an exploration of key AWS AI services, including Amazon Bedrock, Q Developer, Q Business, and SageMaker, providing you with a solid foundation for AI solution development.",N/A,"Artificial Intelligence, MLOps (Machine Learning Operations), Data Ethics, Large Language Modeling, Artificial Intelligence and Machine Learning (AI/ML), Responsible AI, LLM Application, Show all","Artificial Intelligence, MLOps (Machine Learning Operations), Data Ethics, Large Language Modeling, Artificial Intelligence and Machine Learning (AI/ML)",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~ai-fundamentals-and-the-cloud/XDP~COURSE!~ai-fundamentals-and-the-cloud.jpeg,ai-fundamentals-and-the-cloud,2026-04-30,https://www.coursera.org/learn/ai-fundamentals-and-the-cloud,81,5,4
Introduction to OpenAI,Gav Ridegeway,N/A,N/A,"The course is divided into several modules to ensure a comprehensive learning experience. The first module, Pre-requisites, sets the stage with essential foundational steps, such as an introduction to OpenAI, account setup, an overview of OpenAI’s platform, securing API keys, understanding OpenAI’s model options, and navigating key libraries and changelogs. This module ensures you have a strong start and the necessary tools for success. In Introduction to AI, you will dive into the evolution of AI, from rule-based systems to deep learning, and discover how transformers and attention mechanisms power today’s generative AI models. You’ll also cover important topics such as prompt engineering, tokenization, pre-training, AI ethics, multimodal inputs, reinforcement learning, and key considerations for responsible AI solutions.

The Text Generation module focuses on the ins and outs of text generation, including prompt engineering and practical applications. Hands-on labs and projects will guide you through creating text-based solutions like recipe generators, article translators, and short story generators. You’ll also explore OpenAI’s tools for sentiment analysis, fine-tuning, text-to-speech, and embeddings, with projects that include developing an AI research assistant and a personalized AI trainer. In the Features module, you’ll gain expertise in structured outputs, function calling, and batch processing with OpenAI, and explore advanced usage techniques and content moderation",N/A,"Tool Calling, Embeddings, Image Analysis, Fine-tuning, LLM Application, Generative Model Architectures, AI literacy, Data Ethics, Token Optimization, Responsible AI, Multimodal Prompts, Show all","Tool Calling, Embeddings, Image Analysis, Fine-tuning, LLM Application",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~introduction-to-openai/XDP~COURSE!~introduction-to-openai.jpeg,introduction-to-openai,2026-04-30,https://www.coursera.org/learn/introduction-to-openai,315,7,5
Fundamentals of Deep Learning,Whizlabs Instructor,N/A,N/A,"Through a progressive and practical learning path, you will gain hands-on experience training neural networks, evaluating model performance, and applying deep learning techniques to real-world image classification problems. The course bridges theory and implementation, helping you understand not just how models work, but why they work.

Whether you are beginning your journey in artificial intelligence or preparing for advanced machine learning and cloud-based AI roles, this course equips you with the conceptual clarity and practical skills required to confidently build and evaluate deep learning models.

This course includes approximately 3:30–4:00 hours of video lectures, combining foundational theory with step-by-step demonstrations. It is divided into focused modules that progressively develop your understanding of neural network architecture and applied deep learning techniques.

To reinforce learning, each module includes quizzes and in-video practice questions that test conceptual understanding and practical application.

📘 Module 1: Foundations of Deep Learning and Neural Networks
🧠 Module 2: Deep Learning Models, Computer Vision, and Transfer Learning",N/A,"Transfer Learning, Artificial Neural Networks, Model Optimization, Model Training, Convolutional Neural Networks, Network Architecture, Image Analysis, Applied Machine Learning, Model Evaluation, Show all","Transfer Learning, Artificial Neural Networks, Model Optimization, Model Training, Convolutional Neural Networks",Intermediate,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~deep-learning-fundamentals/XDP~COURSE!~deep-learning-fundamentals.jpeg,deep-learning-fundamentals,2026-04-30,https://www.coursera.org/learn/deep-learning-fundamentals,96,4,4
Introduction to AI: Key Concepts and Applications,Ian McCulloh,4.8,25,"What sets this course apart is its focus on balancing technical depth with accessibility, making it ideal for leaders, managers, and professionals tasked with driving AI initiatives. Learners will delve into performance metrics, inter-annotator agreement, and tradeoffs in resources, gaining a nuanced understanding of AI's strengths and limitations.

Whether you're a newcomer or looking to deepen your understanding, this course empowers you to make informed AI decisions, optimize systems, and address challenges in data quality and algorithm selection. By the end, you'll have the confidence to navigate AI projects and align them with organizational goals, positioning yourself as a strategic leader in AI-driven innovation.",2 weeks,"Decision Intelligence, Strategic Leadership, Machine Learning Algorithms, AI Product Strategy, Data Quality, Machine Learning Methods, Model Evaluation, Machine Learning, Show all","Decision Intelligence, Strategic Leadership, Machine Learning Algorithms, AI Product Strategy, Data Quality",Intermediate,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~core-concepts-in-ai/XDP~COURSE!~core-concepts-in-ai.jpeg,core-concepts-in-ai,2026-04-30,https://www.coursera.org/learn/core-concepts-in-ai,439,8,18
Working with Notebooks in Vertex AI,Google Cloud Training,N/A,N/A,"This course is an introduction to Vertex AI Notebooks, which are Jupyter notebook-based environments that provide a unified platform for the entire machine learning workflow, from data preparation to model deployment and monitoring. The course covers the following topics: (1) The different types of Vertex AI Notebooks and their features and (2) How to create and manage Vertex AI Notebooks.",N/A,"MLOps (Machine Learning Operations), Applied Machine Learning, Google Cloud Platform","MLOps (Machine Learning Operations), Applied Machine Learning, Google Cloud Platform",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~working-with-notebooks-in-vertex-ai/XDP~COURSE!~working-with-notebooks-in-vertex-ai.jpeg,working-with-notebooks-in-vertex-ai,2026-04-30,https://www.coursera.org/learn/working-with-notebooks-in-vertex-ai,24,1,1
AI For Everyone,Andrew Ng,4.8,52256,"In this course, you will learn:

- The meaning behind common AI terminology, including neural networks, machine learning, deep learning, and data science
- What AI realistically can--and cannot--do
- How to spot opportunities to apply AI to problems in your own organization
- What it feels like to build machine learning and data science projects
- How to work with an AI team and build an AI strategy in your company
- How to navigate ethical and societal discussions surrounding AI

Though this course is largely non-technical, engineers can also take this course to learn the business aspects of AI.",N/A,"Deep Learning, Data Ethics, Data Science, Applied Machine Learning, Machine Learning, Artificial Neural Networks, Responsible AI, AI Enablement, AI Product Strategy, Artificial Intelligence, Show all","Deep Learning, Data Ethics, Data Science, Applied Machine Learning, Machine Learning",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~ai-for-everyone/XDP~COURSE!~ai-for-everyone.jpeg,ai-for-everyone,2026-04-30,https://www.coursera.org/learn/ai-for-everyone,263,7,4
IT Fundamentals for Business Profiles: Cybersecurity,N/A,N/A,N/A,"This is the fifth and last part of an introductory business information systems course, designed to introduce you to the amazing world of Information Technology. In this course, you will learn the basic concepts of information systems and their application with a focus on the legal, economical and social aspects of information technology.
By completing the five part series you will be prepared to pass the CLEP Information Systems and Computer Applications exam.",1 week,"Security Awareness, Social Media Content, Social Media Management, Information Privacy, Personally Identifiable Information, E-Commerce, Cybersecurity, Digital Content, Social Media, Show all","Security Awareness, Social Media Content, Social Media Management, Information Privacy, Personally Identifiable Information",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~it-fundamentals-for-business-profiles-cybersecurity/XDP~COURSE!~it-fundamentals-for-business-profiles-cybersecurity.jpeg,it-fundamentals-for-business-profiles-cybersecurity,2026-04-30,https://www.coursera.org/learn/it-fundamentals-for-business-profiles-cybersecurity,N/A,5,41
IT Fundamentals for Business Profiles: Hardware,N/A,N/A,N/A,"Here, you’ll explore the fundamentals of computer hardware and networking. From understanding what a computer is and the difference between hardware and software, to learning about various networking technologies and devices, you’ll build a solid foundation in the systems that power our increasingly digital and interconnected world.

As the second part of a five-course series, completing it will help you prepare for the CLEP Information Systems and Computer Applications exam.",2 weeks,"Wireless Networks, General Networking, Business Technologies, Hardware Troubleshooting, Data Storage Technologies, Mainframe Computing, Networking Hardware, Infrastructure Security, Show all","Wireless Networks, General Networking, Business Technologies, Hardware Troubleshooting, Data Storage Technologies",Intermediate,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~it-fundamentals-for-business-profiles-hardware/XDP~COURSE!~it-fundamentals-for-business-profiles-hardware.jpeg,it-fundamentals-for-business-profiles-hardware,2026-04-30,https://www.coursera.org/learn/it-fundamentals-for-business-profiles-hardware,N/A,6,59
