title,instructor,rating,reviews_count,description,duration,what_you_learn,tag,level,price,thumbnail_url,external_id,scraped_date,url,video_hours,reading_count,assignment_count
Technical Support Fundamentals,Google Career Certificates,N/A,164004,"By the end of this course, you’ll be able to:
● understand how the binary system works
● assemble a computer from scratch
● choose and install an operating system on a computer
● understand what the Internet is, how it works, and the impact it has in the modern world
● learn how applications are created and how they work under the hood of a computer
● utilize common problem-solving methodologies and soft skills in an Information Technology setting",2 weeks at 10 hours a week,"Hardware Troubleshooting, Package and Software Management, Software Installation, Customer Support, Software Documentation, Computer Systems, Information Technology, Show all","Hardware Troubleshooting, Package and Software Management, Software Installation, Customer Support, Software Documentation",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~technical-support-fundamentals/XDP~COURSE!~technical-support-fundamentals.jpeg,technical-support-fundamentals,2026-04-26,https://www.coursera.org/learn/technical-support-fundamentals,302,35,20
Introduction to Generative AI,Google Cloud Training,N/A,11559,"This is an introductory level microlearning course aimed at explaining what Generative AI is, how it is used, and how it differs from traditional machine learning methods. It also covers Google Tools to help you develop your own Gen AI apps.",N/A,"Large Language Modeling, AI literacy, Google Cloud Platform, Artificial Intelligence, Deep Learning, Machine Learning Methods","Large Language Modeling, AI literacy, Google Cloud Platform, Artificial Intelligence, Deep Learning",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~introduction-to-generative-ai/XDP~COURSE!~introduction-to-generative-ai.jpeg,introduction-to-generative-ai,2026-04-26,https://www.coursera.org/learn/introduction-to-generative-ai,24,1,4
AI For Everyone,Andrew Ng,N/A,52234,"In this course, you will learn:

- The meaning behind common AI terminology, including neural networks, machine learning, deep learning, and data science
- What AI realistically can--and cannot--do
- How to spot opportunities to apply AI to problems in your own organization
- What it feels like to build machine learning and data science projects
- How to work with an AI team and build an AI strategy in your company
- How to navigate ethical and societal discussions surrounding AI

Though this course is largely non-technical, engineers can also take this course to learn the business aspects of AI.",N/A,"Responsible AI, AI Integrations, Artificial Neural Networks, Deep Learning, Data Ethics, AI literacy, AI Product Strategy, Artificial Intelligence, Data Science, Applied Machine Learning, Show all","Responsible AI, AI Integrations, Artificial Neural Networks, Deep Learning, Data Ethics",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~ai-for-everyone/XDP~COURSE!~ai-for-everyone.jpeg,ai-for-everyone,2026-04-26,https://www.coursera.org/learn/ai-for-everyone,263,7,4
IT Fundamentals for Business Profiles: Cybersecurity,N/A,N/A,N/A,"This is the fifth and last part of an introductory business information systems course, designed to introduce you to the amazing world of Information Technology. In this course, you will learn the basic concepts of information systems and their application with a focus on the legal, economical and social aspects of information technology.
By completing the five part series you will be prepared to pass the CLEP Information Systems and Computer Applications exam.",1 week,"Social Media, Cybersecurity, Digital Content, Email Security, Social Media Content, E-Commerce, Personally Identifiable Information, Security Awareness, Malware Protection, Information Privacy, Show all","Social Media, Cybersecurity, Digital Content, Email Security, Social Media Content",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~it-fundamentals-for-business-profiles-cybersecurity/XDP~COURSE!~it-fundamentals-for-business-profiles-cybersecurity.jpeg,it-fundamentals-for-business-profiles-cybersecurity,2026-04-26,https://www.coursera.org/learn/it-fundamentals-for-business-profiles-cybersecurity,N/A,5,41
IT Fundamentals for Business Profiles: Hardware,N/A,N/A,N/A,"Here, you’ll explore the fundamentals of computer hardware and networking. From understanding what a computer is and the difference between hardware and software, to learning about various networking technologies and devices, you’ll build a solid foundation in the systems that power our increasingly digital and interconnected world.

As the second part of a five-course series, completing it will help you prepare for the CLEP Information Systems and Computer Applications exam.",2 weeks,"Networking Hardware, Data Storage Technologies, Computer Architecture, Memory Management, Hardware Architecture, General Networking, Infrastructure Security, Peripheral Devices, Computer Systems, Show all","Networking Hardware, Data Storage Technologies, Computer Architecture, Memory Management, Hardware Architecture",Intermediate,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~it-fundamentals-for-business-profiles-hardware/XDP~COURSE!~it-fundamentals-for-business-profiles-hardware.jpeg,it-fundamentals-for-business-profiles-hardware,2026-04-26,https://www.coursera.org/learn/it-fundamentals-for-business-profiles-hardware,N/A,6,59
Planning and Managing Information Systems Development Part 2,Shirali Patel,N/A,N/A,"This course will provide an overview of the most popular information systems needs’ assessment methodologies including portfolio analysis, stage assessment, business systems planning. Topics include utilities Information Systems strategic plan prioritization techniques of business goal alignment, architectural compatibility, and cost/benefit and risk analysis demonstrating how businesses match needs to budgetary constraints. This course will describe and evaluate options for the placement of the Information Systems function within an organization and a variety of methods to manage the function.",2 weeks,"Project Portfolio Management, Procurement, Contract Negotiation, Resource Management, Project Management, Requirements Management, Business Analysis, Risk Management, Communication Strategies, Show all","Project Portfolio Management, Procurement, Contract Negotiation, Resource Management, Project Management",N/A,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~planning-and-managing-information-systems-development-part-2/XDP~COURSE!~planning-and-managing-information-systems-development-part-2.jpeg,planning-and-managing-information-systems-development-part-2,2026-04-26,https://www.coursera.org/learn/planning-and-managing-information-systems-development-part-2,31,275,6
Financial Markets,Robert Shiller,N/A,32152,"An overview of the ideas, methods, and institutions that permit human society to manage risks and foster enterprise.  Emphasis on financially-savvy leadership skills. Description of practices today and analysis of prospects for the future. Introduction to risk management and behavioral finance principles to understand the real-world functioning of securities, insurance, and banking industries.  The ultimate goal of this course is using such industries effectively and towards a better society.",3 weeks at 10 hours a week,"Financial Market, Governance, Portfolio Risk, Capital Markets, Risk Management, Investment Banking, Equities, Corporate Finance, Derivatives, Financial Industry Regulatory Authorities, Show all","Financial Market, Governance, Portfolio Risk, Capital Markets, Risk Management",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~financial-markets-global/XDP~COURSE!~financial-markets-global.jpeg,financial-markets-global,2026-04-26,https://www.coursera.org/learn/financial-markets-global,1109,1,26
Prompt Engineering for ChatGPT,Dr. Jules White,N/A,7828,"Large language models respond to instructions and questions posed by users in natural language statements, known as “prompts”. Although large language models will disrupt many fields, most users lack the skills to write effective prompts. Expert users, who understand how to write good prompts, are orders of magnitude more productive and can unlock significantly more creative uses for these tools. 

This course introduces students to the patterns and approaches for writing effective prompts for large language models.  Anyone can take the course and the only required knowledge is basic computer usage skills, such as using a browser and accessing ChatGPT. Students will start with basic prompts and build towards writing sophisticated prompts to solve problems in any domain. By the end of the course, students will have strong prompt engineering skills and be capable of using large language models for a wide range of tasks in their job, business, personal life, and education, such as writing, summarization, game play, planning, simulation, and programming.",2 weeks at 10 hours a week,"AI literacy, Prompt Patterns, Artificial Intelligence, LLM Application, Large Language Modeling, AI powered creativity, AI Enablement","AI literacy, Prompt Patterns, Artificial Intelligence, LLM Application, Large Language Modeling",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~prompt-engineering/XDP~COURSE!~prompt-engineering.jpeg,prompt-engineering,2026-04-26,https://www.coursera.org/learn/prompt-engineering,348,24,7
"Foundations: Data, Data, Everywhere",Google Career Certificates,N/A,122033,"Learners who complete this certificate program will be equipped to apply for introductory-level jobs as data analysts. No previous experience is necessary.

By the end of this course, learners will:
- Gain an understanding of the practices and processes employed by a junior or associate data analyst in their day-to-day job. 
- Learn about key analytical skills (data cleaning, data analysis, data visualization) and tools (spreadsheets, SQL, R programming, Tableau) that you can add to your professional toolbox. 
- Discover a wide variety of terms and concepts relevant to the role of a junior data analyst, such as the data life cycle and the data analysis process. 
- Evaluate the role of analytics in the data ecosystem. 
- Conduct an analytical thinking self-assessment. 
- Explore job opportunities available to you upon program completion, and learn about best practices you can leverage during your job search.",1 week at 10 hours a week,"Data Ethics, Tableau Software, Business Analytics, Data Visualization Software, Data Visualization, Data-Driven Decision-Making, Data Collection, Spreadsheet Software, Data Sharing, Show all","Data Ethics, Tableau Software, Business Analytics, Data Visualization Software, Data Visualization",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~foundations-data/XDP~COURSE!~foundations-data.jpeg,foundations-data,2026-04-26,https://www.coursera.org/learn/foundations-data,149,29,18
AI Fundamentals,Google Career Certificates,N/A,1329,"By the end of this course, you will:

• Adopt a new way of working with AI, moving beyond a simple task completer to a professional collaborator.
• Apply prompting techniques to brainstorm new ideas and build a library of reusable prompts for daily tasks.
• Practice prompt chaining to solve complex, multi-step problems. 
• Generate custom images by learning how to effectively communicate your creative vision. 
• Use responsible judgement to apply AI confidently.",N/A,"Artificial Intelligence, Prompt Patterns, AI Enablement, Responsible AI, AI Personalization, AI literacy, AI powered creativity, LLM Application, Data Synthesis, Data Literacy","Artificial Intelligence, Prompt Patterns, AI Enablement, Responsible AI, AI Personalization",Beginner,570000,https://s3.amazonaws.com/coursera_assets/meta_images/generated/XDP/XDP~COURSE!~google-ai-fundamentals/XDP~COURSE!~google-ai-fundamentals.jpeg,google-ai-fundamentals,2026-04-26,https://www.coursera.org/learn/google-ai-fundamentals,30,12,2
